epoch,accuracy,loss,val_accuracy,val_loss
0,0.9132652878761292,152.74774169921875,0.814609944820404,27.659523010253906
1,0.8677284121513367,13.025863647460938,0.7684531807899475,8.976421356201172
2,0.8664886355400085,6.46904182434082,0.9351516366004944,4.636566162109375
3,0.8998187780380249,4.076996326446533,0.8020217418670654,3.30275297164917
4,0.900295615196228,2.7751879692077637,0.9423993825912476,4.321066856384277
5,0.9017261266708374,2.245152235031128,0.9422086477279663,2.7878546714782715
6,0.9038241505622864,1.857789158821106,0.9431623220443726,3.245898962020874
7,0.9043963551521301,1.6028159856796265,0.9296204447746277,1.6422454118728638
8,0.9070188999176025,1.5181450843811035,0.8384512662887573,1.0746372938156128
9,0.903156578540802,1.600182294845581,0.9397291541099548,0.9631115198135376
